scenario,mae,slope,intercept
mean_impute,1.2783168286969493,2.1302362713250997,0.7115233802766693
median_impute,1.2839539915408875,2.129290274759831,0.727146483148422
drop_missing,2.0610504673766226,2.1302362713251,0.6591643618498662
