date,close,high,low,open,volume,volatility,momentum,turnover_value
2025-08-27,229.6417236328125,230.05020313892598,227.41991984776428,227.7686378094015,31259500,0.01154804856567981,,7178485459.899902
2025-08-28,231.70408630371094,232.55096405412047,228.4959359400532,229.9704999102399,38074700,0.017632818625215003,0.008980783797791325,8822063574.787903
2025-08-29,231.28561401367188,232.52105569809,230.5184437223928,231.65424737322112,39418400,0.008644831676540714,-0.00180606348690171,9116908847.436523
2025-09-02,228.87454223632812,230.00038826150748,226.1346633063032,228.4062708029861,44075600,0.016924775933751406,-0.010424650869989782,10087782773.791504
2025-09-03,237.59234619140625,237.9709525201245,233.49747185558658,236.33698891571112,66427800,0.018928398322504585,0.038089880464190706,15782736854.333496
2025-09-04,238.8975067138672,239.0170601981439,235.8687018920251,237.57239985348932,47549400,0.013252205677344668,0.005493276796928015,11359433105.740356
2025-09-05,238.80784606933594,240.43185187342493,237.61226559630578,239.1167027112504,54870400,0.011791674296061193,-0.0003753100891029648,13103482036.96289
2025-09-08,237.0045166015625,239.2661511981365,235.47017586985078,238.41928864081726,48999500,0.015921427120791483,-0.0075513828270526995,11613102811.218262
2025-09-09,233.4875030517578,237.90119155812317,232.5011411802574,236.12774389612645,66313900,0.022869190586267032,-0.014839436818485985,15483466928.623962
2025-09-10,225.95533752441406,231.56462228661692,225.11843262708078,231.33547301291114,83440800,0.027865115434226446,-0.03225939473803052,18853894127.30713
2025-09-11,229.18341064453125,229.60186307827533,225.81584532196928,226.04500979013486,50208600,0.016748955262587188,0.014286332668589363,11506978191.687012
2025-09-12,233.20852661132812,233.6468944473401,228.17710979485463,228.37637066624734,55824200,0.02395074690314211,0.017562859176748713,13018679431.256104
2025-09-15,235.828857421875,237.31337916896246,234.16500543557729,236.12775635652346,42699500,0.013333348785271643,0.01123599916616258,10069774297.485352
2025-09-16,237.2735137939453,240.33222235518573,235.45026224943368,236.30708253667353,63421100,0.020659389694739277,0.006125867664642737,15048147245.677185
2025-09-17,238.11044311523438,239.21635855568803,236.85507060288438,238.09051246512186,46508000,0.00991760624291805,0.0035272766349128126,11074040488.40332
2025-09-18,237.0045166015625,240.31228984200703,235.77903252032195,239.08682096339746,44249600,0.018960716042056937,-0.0046445947485665995,10487355057.8125
2025-09-19,244.59646606445312,245.3935247988757,239.32594197772087,240.34217704154452,163741300,0.025245601483030584,0.03203293157342535,40050543328.79944
2025-09-22,255.13751220703125,255.69547916115815,247.2068166293636,247.38616206443075,105517400,0.034313408886563784,0.043095660015793014,26921446930.5542
